quote,person,biography
愛は協力と相互理解に基づいて育みます。,ジョン・アダムズ,ジョン・アメリカの第2代大統領で、アメリカ独立の指導者
信頼は愛の基盤です。,レオ・トルストイ,ロシアの作家・哲学者
夫婦の絆は共通の目標に向かって歩むことで深まります。,ロザリンド・カーター,アメリカの心理学者
愛はお互いを尊重し合うことから生まれます。,ドロシー・デイ,アメリカの社会活動家
優しさと思いやりが愛を成長させます。,マザー・テレサ,アルバニア出身のカトリック修道女、ノーベル平和賞受賞者,
真のパートナーシップは、困難な時でもお互いを支え合うことによって築かれます。,マヤ・アンジェロウ,アメリカの詩人・作家
コミュニケーションは愛の絆を強化します。,ゲーリー・チャップマンアメリカのカウンセラー・著作家
夫婦の絆は、一緒に笑い、一緒に涙することで深まります。,ジョージ・エリオット,イギリスの小説家
愛はお互いを成長させる力を持っています。,ハリエット・テューバンマイヤー,アメリカの心理学者
共通の趣味や興味を持つことが夫婦の絆を強くします。,ジョン・キーガン,イギリスの歴史家
夫婦の絆は、お互いを許し合うことで深まります。,オスカー・ワイルド,アイルランドの劇作家・詩人
相手の良い面にフォーカスすることが愛の秘訣です。,マーティン・ルーサー・キング・ジュニア,アメリカの人権活動家、ノーベル平和賞受賞者
夫婦の絆は、お互いに感謝の気持ちを持つことで育まれます。,ジェーン・オースティン,イギリスの小説家
信頼と忍耐が愛を強固なものにします。,ダライ・ラマ,チベットの精神的指導者、ノーベル平和賞受賞者
愛はお互いをサポートし合うことから成り立ちます。,ウィリアム・シェイクスピア,イギリスの劇作家・詩人
夫婦の絆は、お互いに自由を与え合うことで深まります。,カミーユ・クローデル,フランスの彫刻家
愛は相手の成長を喜ぶ心から生まれるものです。,ネルソン・マンデラ,南アフリカの政治家、ノーベル平和賞受賞者
夫婦の絆は、お互いを理解しようとする姿勢によって築かれます。,ヴィクトル・フランクル,オーストリアの精神科医・作家
愛は相手の感情に共感することから生まれます。,マハトマ・ガンディー,インドの独立運動指導者
夫婦の絆は、お互いの個性を尊重することによって成り立ちます。,ジョン・ゴットマン,アメリカの心理学者
愛はお互いを尊敬し合うことから成り立ちます。,マリー・キュリー,ポーランド出身の物理学者、2度のノーベル賞受賞者
夫婦の絆は、お互いに対して感謝の気持ちを忘れずに育てられます。,エレノア・ルーズベルト,アメリカの第32代大統領フランクリン・ルーズベルトの妻
愛はお互いを励まし合うことから生まれます。,フリーダ・カーロ,メキシコの画家
夫婦の絆は、共通の興味を持つことで強固になります。,ジョージ・バーナード・ショー,アイルランドの劇作家・評論家
愛はお互いを尊重することによって育まれます。,マザー・ジョーンズ,アメリカの労働運動指導者
夫婦の絆は、お互いに寄り添うことで深まります。,レオナルド・ダ・ヴィンチ,イタリアのルネサンス期の画家・発明家・科学者
愛はお互いの個性を認め合うことによって成り立ちます。,ハリエット・ブリーチャー・ストウ,アメリカの作家、『アンクル・トムの小屋』の著者
夫婦の絆は、お互いに喜びを共有することで強化されます。,フリードリヒ・ニーチェ,ドイツの哲学者・詩人
愛はお互いを理解することから生まれるものです。,アリストテレス,古代ギリシアの哲学者
夫婦の絆は、お互いをサポートすることで深まります。,ジャネット・ジャクソン,アメリカの歌手・女優
愛はお互いを支え合うことから成り立ちます。,ウィリアム・ジェームズ,アメリカの心理学者・哲学者
夫婦の絆は、お互いに共感し合うことで強まります。,フレデリック・ダグラス,アメリカの奴隷出身の作家・人権活動家
愛はお互いの成長を応援し合うことから生まれます。,リンド・バーバラ・ブラウン,アメリカの心理学者
夫婦の絆は、お互いの感情を理解しようとする姿勢によって育まれます。,ヴィクトル・フランクル,オーストリアの精神科医・作家
愛はお互いを信じることから生まれるものです。,カレン・アームストロング,イギリスの宗教学者
夫婦の絆は、お互いに尊敬と信頼を寄せることで深まります。,ソクラテス,古代ギリシアの哲学者
愛はお互いをコントロールすることではなく、解放し合うことです。,マハトマ・ガンディー,インドの独立運動指導者
夫婦の絆は、お互いに心の平穏をもたらすことで育まれます。,カール・ジーンズ,スイスの心理学者
愛はお互いの良い点を見つけることから生まれるものです。,ジョン・キャッスル,アメリカのバスケットボール選手・指導者
夫婦の絆は、お互いに励まし合うことで強固になります。,ハーパー・リー,アメリカの作家、『アラバマ物語』の著者
愛はお互いを大切に思う気持ちから生まれます。,エリザベス・バレット・ブラウニング,イギリスの詩人
夫婦の絆は、お互いの感情に共感することで強まります。,フリーダ・カーロ,メキシコの画家
愛はお互いを尊重し合うことによって成り立ちます。,マリー・キュリー,ポーランド出身の物理学者、2度のノーベル賞受賞者
夫婦の絆は、お互いに寄り添うことで深まります。,レオナルド・ダ・ヴィンチ,イタリアのルネサンス期の画家・発明家・科学者
愛はお互いを励まし合うことから生まれます。,フリードリヒ・ニーチェ,ドイツの哲学者・詩人
夫婦の絆は、お互いに自由を与え合うことで育まれます。,カミーユ・クローデル,フランスの彫刻家
愛はお互いを尊敬し合うことから成り立ちます。,ジョン・ゴットマン,アメリカの心理学者
夫婦の絆は、お互いに喜びを共有することで強化されます。,フリードリヒ・ニーチェ,ドイツの哲学者・詩人
夫婦の絆は、お互いをサポートすることから成り立ちます。,ウィリアム・ジェームズ,アメリカの心理学者・哲学者
